Indirizzo Completo,A-Codice fiscale,A-Denominazione,First A-Sede/U.L.,Average of Lat,Average of Long
"VIA F. SOLARI 37, 33033, CODROIPO, UD",01789930300,TERMONOVA S.P.A.,UL-3,45.970591,12.989693
"VIA F. VENEZIAN 1, 34124, TRIESTE, TS",01264190321,STRATEGAHUB SOCIETA  A RESPONSABILITA  LIMITATA SEMPLIFICATA,UL-1,45.646231,13.767696
"VIA F.LLI BANDIERA 17, 33170, PORDENONE, PN",01454130939,TOP S.R.L.,UL-3,45.957487,12.664463
"VIA F.LLI BERTAGNOLLI 1, 33030, MAJANO, UD",02705570303,AXIS DANZA SOCIETA  SPORTIVA DILETTANTISTICA A R.L.,UL-2,46.182739,13.069524
"VIA F.LLI RUSJAN 15, 34070, SAVOGNA D ISONZO, GO",00645570326,SERVIGEST - S.R.L.,UL-1,45.905531,13.610931
"VIA F.LLI RUSJAN 17, 34070, SAVOGNA D ISONZO, GO",00303620314,MINERVA S.P.A.,UL-2,45.902704,13.572046
"VIA F.LLI SAVOIA 16, 33033, CODROIPO, UD",01586270934,PERLARREDI SRL,UL-1,45.972646,12.994642
"VIA F.LLI SOLARI 18, 33020, AMARO, UD",02740030305,LAPO IMMOBILIARE S.R.L.,UL-1,46.369916,13.080923
"VIA F.LLI SOLARI 3/B, 33020, AMARO, UD",02912940307,FROOGS SRL,UL-1,46.369282,13.078612
"VIA F.LLI SOLARI Z.I., 33020, AMARO, UD",02502390301,T.D.P. TORNITURA DI PRECISIONE S.R.L. IN FORMA ABBREVIATA T.D.P. S.R.L.,UL-1,46.36869,13.078268
"VIA F.LLI ZAMBON 5, 33080, FIUME VENETO, PN",00396960932,OFFICINE G.S.P. S.R.L.,UL-1,45.927436,12.73219
"VIA F.LLI ZAMBON 7/A, 33080, FIUME VENETO, PN",01385630932,F.B. COSTRUZIONI S.R.L.,UL-2,45.901529,12.728785
"VIA F.LLI ZAMBON 9, 33080, FIUME VENETO, PN",00398770933,TERMOIDRAULICA ANTONEL S.R.L.,UL-1,45.899244,12.728068
"VIA F.MARTELLI 34, 33170, PORDENONE, PN",02550370304,PITTILINO S.R.L.,UL-1,45.95288,12.669686
"VIA FABIO 2/A, 33085, MANIAGO, PN",02636150308,CNA SERVIZI FRIULI VENEZIA GIULIA S.R.L.,UL-2,46.165038,12.708694
"VIA FABIO COMELLI-ZONA INDUSTRIALE, 33034, FAGAGNA, UD",02456020300,ZIRALDO IMPIANTI S.R.L.,UL-1,46.111683,13.082118
"VIA FABIO DA MANIAGO 8, 33085, MANIAGO, PN",02392770307,CONC. MAICO - CENTRO OTOACUSTICO MARCHESIN SRL,UL-2,46.171,12.708538
"VIA FABIO DI MANAIGO 1, 33085, MANIAGO, PN",01670550936,OMNIA COMMUNICATION S.R.L.,UL-2,46.171147,12.708343
"VIA FABIO DI MANIAGO 15/3, 33100, UDINE, UD",02257380309,VISUAL DISPLAY S.R.L.,UL-1,46.052283,13.244583
"VIA FABIO DI MANIAGO 7, 33100, UDINE, UD",00435080304,CHINESPORT S.P.A.,UL-7,46.052978,13.246114
"VIA FABIO FILZI 10, 34132, TRIESTE, TS",01271180323,EVERYSTORE SOCIETA  A RESPONSABILITA  LIMITATA SEMPLIFICATA,UL-1,45.653543,13.774031
"VIA FABIO FILZI 23, 34132, TRIESTE, TS",00079760328,ASSICURAZIONI GENERALI SOCIETA  PER AZIONI,UL-40,45.654158,13.769411
"VIA FABIO MANIAGO 9, 33085, MANIAGO, PN",02258300306,MEGAVISION S.R.L.,UL-1,46.171122,12.708508
"VIA FABIO SEVERO 2/3, 34133, TRIESTE, TS",01336910326,TECNOGOMMA 2 S.R.L.,UL-2,45.655397,13.776474
"VIA FABIO SEVERO 29, 34133, TRIESTE, TS",00935180323,AUTORICAMBI BERTONI S.R.L.,UL-1,45.656403,13.781647
"VIA FABIO SEVERO 30, 34133, TRIESTE, TS",02845470307,MONDO EDIL SRL,UL-1,45.656751,13.782031
"VIA FABIO SEVERO 42-50, 34126, TRIESTE, TS",00896860327,VECTA S.R.L.,UL-4,45.654561,13.790585
"VIA FABIO SEVERO 48, 34127, TRIESTE, TS",01252700933,RE.BI.S. S.R.L.,UL-1,45.656642,13.785129
"VIA FABIO SEVERO 5, 34133, TRIESTE, TS",02852960307,ADRIAMONEY S.R.L.,UL-1,45.655127,13.776343
"VIA FACCHINA 83, 33090, SEQUALS, PN",01586310938,SOCIALTEAM SRL,UL-6,46.170157,12.833464
"VIA FAEDIS 10, 33040, POVOLETTO, UD",02638800306,RAMO SRL,UL-2,46.118187,13.298147
"VIA FAEDIS 21, 33040, POVOLETTO, UD",02066590304,VITEN SRL,UL-2,46.118187,13.298147
"VIA FAEDIS 6, 33040, POVOLETTO, UD",02638800306,RAMO SRL,UL-1,46.118187,13.298147
"VIA FAGAGNA 1, 33038, SAN DANIELE DEL FRIULI, UD",01429320300,ARTELATTE S.R.L.,UL-1,46.156216,13.01552
"VIA FAIDUTTI 2-4, 33050, RUDA, UD",01202290316,SKALIA SOCIETA  A RESPONSABILITA  LIMITATA SEMPLIFICATA,UL-1,45.842785,13.398
"VIA FAILUTTI S.N., 33050, POZZUOLO DEL FRIULI, UD",02257300307,KONNER S.R.L. - SOCIETA  UNIPERSONALE,UL-1,46.016895,13.205978
"VIA FAITI 15, 34170, GORIZIA, GO",01141200319,PIERO PELLIZON IMMOBILIARE SRL,UL-1,45.937506,13.621952
"VIA FALCON VIAL 14, 33078, SAN VITO AL TAGLIAMENTO, PN",01379220930,M.P. SOCIETA  A RESPONSABILITA  LIMITATA SEMPLIFICATA,UL-1,45.915121,12.851881
"VIA FARRA 32, 34070, SAN LORENZO ISONTINO, GO",00300940319,GENERAL SCAMBI S.R.L.,UL-3,45.925586,13.521304
"VIA FATEBENEFRATELLI 1, 34170, GORIZIA, GO",01099020313,IMPRESA EDILE BERISHA S.R.L.,UL-1,45.937957,13.608573
"VIA FATEBENEFRATELLI 26, 34170, GORIZIA, GO",02821300304,TPM SRL,UL-2,45.936089,13.607105
"VIA FATEBENEFRATELLI 54, 34170, GORIZIA, GO",00255950305,SAVAS S.R.L.,UL-1,45.935123,13.606708
"VIA FAUSTO COPPI SNC, 33044, MANZANO, UD",02390980304,CHIAPPO S.R.L.,UL-1,45.988842,13.376344
"VIA FAUSTO PECORARI 2, 34122, TRIESTE, TS",01330460328,JAGA S.R.L.S.,UL-1,45.651478,13.776887
"VIA FAUTARIO 17, 33082, AZZANO DECIMO, PN",00216460931,SO.L.ARE. S.R.L.,UL-5,45.914243,12.657252
"VIA FAUTARIO 21/2, 33082, AZZANO DECIMO, PN",06625541005,FML AUDITING SRL,UL-1,45.91321,12.658356
"VIA FELETTO 14, 33100, UDINE, UD",02244100307,LINDA S.R.L.,UL-5,46.079952,13.234008
"VIA FELETTO 35, 33100, UDINE, UD",01512090935,ALBA S.R.L,UL-1,46.081255,13.23354
"VIA FELETTO 79, 33100, UDINE, UD",02223200300,R.D.P.  TRADING  SRL,UL-1,46.083874,13.232334
"VIA FELICE CAVALLOTTI 2/A, 33170, PORDENONE, PN",01371040930,FAGNINI S.R.L.,UL-1,45.959963,12.660371
"VIA FELICE CAVALLOTTI 38, 33170, PORDENONE, PN",01880550932,MAGNA GRECIA SOCIETA  A RESPONSABILITA  LIMITATA SEMPLIFICATA,UL-1,45.961081,12.661055
"VIA FELICE CAVALLOTTI 78, 33080, ROVEREDO IN PIANO, PN",01208360931,GELCARNI S.R.L.,UL-1,46.002357,12.624576
"VIA FELICE VENEZIAN 1, 34124, TRIESTE, TS",01336070329,ITALIAN DISTRICTS S.R.L.,UL-1,45.646231,13.767696
"VIA FELICE VENEZIAN 13, 34124, TRIESTE, TS",02130470301,MOLINO MORAS S.R.L.,UL-1,45.647597,13.76668
"VIA FELICE VENEZIAN 14, 34124, TRIESTE, TS",00986750321,LACOM S.R.L.,UL-15,45.646231,13.767696
"VIA FELICE VENEZIAN 2, 34124, TRIESTE, TS",00300650322,AL BAGATTO S.R.L.,UL-3,45.646231,13.767696
"VIA FELLUGA 26, 34015, MUGGIA, TS",01184250320,DIFFUSIONI TELEVISIVE S.R.L.,UL-1,45.601448,13.76468
"VIA FELLUGA 61, 34142, TRIESTE, TS",00815640321,RISTOBAR - S.R.L.,UL-2,45.644603,13.801706
"VIA FERMI 14, 33058, SAN GIORGIO DI NOGARO, UD",02197150309,COLDAM S.R.L.,UL-2,45.789143,13.228745
"VIA FERMI 2, 34072, GRADISCA D ISONZO, GO",02073640308,SOGEP SRL,UL-2,45.892425,13.500194
"VIA FERMI 5/A, 34071, CORMONS, GO",01160790315,CMF S.P.A.,UL-7,45.947617,13.469161
"VIA FERMI 8, 34070, MARIANO DEL FRIULI, GO",00553460312,AURORA S.R.L.,UL-2,45.917791,13.457899
"VIA FERMI 8/10, 33082, AZZANO DECIMO, PN",01740040934,LA BOTTEGA S.R.L.,UL-1,45.896435,12.685199
"VIA FERMI ANGOLO VIA VOLTA ., 33044, MANZANO, UD",05617370969,CALLIGARIS S.P.A.,UL-12,45.984319,13.354904
"VIA FERRARA 2, 33010, TAVAGNACCO, UD",02859730307,COMMERCIALE NORD DIESEL S.R.L.,UL-1,46.127465,13.210952
"VIA FERRARIA 17, 33050, MORTEGLIANO, UD",02891140309,RAIANNABEL SRL,UL-1,45.942518,13.206154
"VIA FERROVIE SNC, 33018, TARVISIO, UD",00158530303,CAFC S.P.A.,UL-27,46.506401,13.607309
"VIA FIERLA 2/B, 33085, MANIAGO, PN",01874600206,NIROVE ECOSERVICE SRL,UL-1,46.157537,12.724861
"VIA FIERLA 5, 33085, MANIAGO, PN",01217450939,MOULD SOLUTIONS S.R.L.,UL-1,46.157323,12.725879
"VIA FIERUTTA 10, 33044, MANZANO, UD",01265600302,TIROLO S.R.L.,UL-1,45.98894,13.370028
"VIA FIERUTTA 2/B, 33044, MANZANO, UD",01592250300,PETTARINI S.R.L.,UL-1,45.988824,13.371011
"VIA FIERUTTA 4, 33044, MANZANO, UD",02737420303,GEIMAN S.R.L.,UL-1,45.98931,13.371434
"VIA FIERUTTA 4/B, 33044, MANZANO, UD",01592250300,PETTARINI S.R.L.,UL-2,45.98931,13.371434
"VIA FIERUTTA 8, 33044, MANZANO, UD",02211550302,COMPACT SORTING SYSTEM S.R.L.,UL-1,45.989206,13.371098
"VIA FIERUTTA 9, 33044, MANZANO, UD",01592250300,PETTARINI S.R.L.,UL-3,45.988853,13.370123
"VIA FILANDA 2, 34071, CORMONS, GO",01069970315,WORKSHOP CARE S.R.L.,UL-1,45.955213,13.465333
"VIA FILIPPO RENATI 3, 33042, BUTTRIO, UD",02925800308,M&M SOURCES SOCIETA  A RESPONSABILITA  LIMITATA SEMPLIFICATA,UL-1,46.005874,13.332143
"VIA FILZI 21, 34132, TRIESTE, TS",01167920329,RESIDENCE LE TERRAZZE S.R.L.,UL-1,45.654158,13.769411
"VIA FILZI 23, 34132, TRIESTE, TS",00171820327,GENERTEL S.P.A.,UL-6,45.654158,13.769411
"VIA FILZI 6, 34132, TRIESTE, TS",00229450325,THE BRITISH SCHOOL OF TRIESTE S.R.L.,UL-3,45.653078,13.773818
"VIA FILZI 7, 34132, TRIESTE, TS",01213440322,IDEA CONVENIENZA S.R.L.,UL-8,45.652657,13.773897
"VIA FIORE DEI LIBERI 43, 33040, PREMARIACCO, UD",02677960300,CA.LI.MA. BAR SRL,UL-3,46.063101,13.395826
"VIA FIUME 10, 33033, CODROIPO, UD",02735980308,ECOSYSTEM S.R.L.,UL-1,45.969797,12.985448
"VIA FIUME 8, 33033, CODROIPO, UD",02042570305,FRAPPA EDILIZIA S.R.L.,UL-1,45.969724,12.984956
"VIA FIUME SNC, 33050, POZZUOLO DEL FRIULI, UD",00664260304,EMMEDIEMME S.R.L.,UL-3,45.986291,13.195687
"VIA FIUMICINO 1, 33082, AZZANO DECIMO, PN",01586270934,PERLARREDI SRL,UL-2,45.893716,12.695181
"VIA FIUMICINO 124/B, 33082, AZZANO DECIMO, PN",02720270301,FG 1926 S.R.L.,UL-1,45.908516,12.669793
"VIA FIUMICINO 20, 33082, AZZANO DECIMO, PN",03585150265,FLEXTEC S.R.L.,UL-2,45.881321,12.71447
"VIA FIUMICINO 28, 33082, AZZANO DECIMO, PN",03585150265,FLEXTEC S.R.L.,UL-3,45.895481,12.693156
"VIA FIUMICINO, 33082, AZZANO DECIMO, PN",00454250309,C.V.C. - CENTRO VENETO CARTA - S.R.L.,UL-1,45.901105,12.683318
"VIA FIUMISINO 14, 34074, MONFALCONE, GO",01087040315,SCAVI NORD EST S.R.L.,UL-1,45.795827,13.52514
"VIA FLANGINI 55, 33077, SACILE, PN",01318780309,LIVENZA SERVIZI MOBILITA  S.R.L.,UL-1,45.951082,12.521164
"VIA FLAVIA 104/A, 34148, TRIESTE, TS",01303920324,TOMARI SOCIETA  A RESPONSABILITA  LIMITATA,UL-2,45.617133,13.812114
"VIA FLAVIA 112, 34147, TRIESTE, TS",00055180327,ILLYCAFFE  S.P.A.,UL-10,45.618021,13.821032
"VIA FLAVIA 114, 34147, TRIESTE, TS",00055180327,ILLYCAFFE  S.P.A.,UL-13,45.618021,13.821032
"VIA FLAVIA 118, 34147, TRIESTE, TS",00055180327,ILLYCAFFE  S.P.A.,UL-16,45.611565,13.819008
"VIA FLAVIA 132, 34147, TRIESTE, TS",01369030935,CREDIT AGRICOLE FRIULADRIA - SOCIETA  PER AZIONI,UL-4,45.609461,13.816495
"VIA FLAVIA 23, 34148, TRIESTE, TS",03858100237,SURGICA ROBOTICA S.R.L.,UL-4,45.621361,13.802727
"VIA FLAVIA 23/1, 34138, TRIESTE, TS",02390250302,SERICHIM S.R.L.,UL-1,45.64137,13.787709
"VIA FLAVIA 23/1, 34148, TRIESTE, TS",00915290324,A.P.E. RESEARCH S.R.L.,UL-1,45.621361,13.802727
"VIA FLAVIA 23/I, 34147, TRIESTE, TS",02938240302,ARIA51 S.R.L.,UL-1,45.621361,13.802727
"VIA FLAVIA 35, 34148, TRIESTE, TS",00956780324,MA.R.T.A. ASCENSORI S.R.L.,UL-1,45.620438,13.809131
"VIA FLAVIA 46, 34147, TRIESTE, TS",01304290321,SISTEMI E TECNOLOGIE DI SICUREZZA - SOCIETA  A RESPONSABILITA  LIMITATA SEMPLIFICATA,UL-1,45.618021,13.821032
"VIA FLAVIA 47, 34148, TRIESTE, TS",01319690309,BLIZ S.R.L.,UL-1,45.616575,13.808322
"VIA FLAVIA 55, 34147, TRIESTE, TS",02229600305,CUSSIGH BIKE S.R.L.,UL-1,45.619121,13.811474
"VIA FLAVIA 60/1, 34148, TRIESTE, TS",00867210320,A.M.A.A. - AGENZIA MARITTIMA ALTO ADRIATICO - SOCIETA  A RESPONSABILITA  LIMITATA,UL-2,45.617133,13.812114
"VIA FLAVIA 62, 34148, TRIESTE, TS",01081120311,EUROGLASS GIULIANA S.R.L.,UL-1,45.62009,13.810776
"VIA FLAVIA 73/1, 34147, TRIESTE, TS",00686490327,AUTA MAROCCHI S.P.A.,UL-39,45.618021,13.821032
"VIA FLAVIA 9, 34138, TRIESTE, TS",01138820319,A&R PALESTRE SOCIETA  SPORTIVA DILETTANTISTICA A RESPONSABILITA  LIMITATA,UL-1,45.64137,13.787709
"VIA FLAVIA DI AQUILINIA -, 34015, MUGGIA, TS",01047330327,ECOEDILMONT - SOCIETA  A RESPONSABILITA  LIMITATA,UL-4,45.582914,13.797175
"VIA FLAVIA DI AQUILINIA 12/B, 34015, MUGGIA, TS",01693870303,NECTOS S.R.L.,UL-1,45.606076,13.807634
"VIA FLAVIA DI AQUILINIA 24, 34015, MUGGIA, TS",00721380327,SEASTOK S.P.A.,UL-1,45.605175,13.808815
"VIA FLAVIA DI STRAMARE 119, 34015, MUGGIA, TS",00690360326,FLOWERS S.R.L.,UL-1,45.593369,13.807507
"VIA FLAVIA DI STRAMARE 119/29, 34015, MUGGIA, TS",01406200939,FLOWERS S.R.L.,UL-8,45.593369,13.807507
"VIA FLAVIA DI STRAMARE 119/E, 34015, MUGGIA, TS",01406200939,FLOWERS S.R.L.,UL-6,45.593369,13.807507
"VIA FLAVIA DI STRAMARE 119/E, 34015, TRIESTE, TS",01236490320,971 SOCIETA  A RESPONSABILITA  LIMITATA SEMPLIFICATA,UL-1,45.593369,13.807507
"VIA FLAVIA DI STRAMARE 119E, 34015, MUGGIA, TS",01406200939,FLOWERS S.R.L.,UL-5,45.603154,13.766797
"VIA FLAVIA DI STRAMARE 139, 34015, MUGGIA, TS",01095120323,CENTRO DISCOUNT S.R.L.,UL-3,45.586833,13.804056
"VIA FLOREFFE 11, 33080, PRATA DI PORDENONE, PN",01189250937,DYVA ITALIA S.R.L.,UL-5,45.891923,12.597935
"VIA FLORIO 18, 33042, BUTTRIO, UD",02198430304,EMMEGIO  S.R.L.,UL-4,46.013649,13.334918
"VIA FLORIO 40, 33010, TAVAGNACCO, UD",00609540307,CECONI S.R.L.,UL-1,46.10107,13.240118
"VIA FOLLATOIO 12, 34147, TRIESTE, TS",01793370931,GREEN GOLD ENERGY S.R.L.,UL-1,45.618021,13.821032
"VIA FONI 2, 33100, UDINE, UD",02844460309,C.G.G. GROUP SOCIETA  A RESPONSABILITA  LIMITATA SEMPLIFICATA,UL-4,46.067943,13.206798
"VIA FONTANA 2, 33080, ZOPPOLA, PN",00423540939,ALS ITALIA SRL,UL-3,45.952863,12.788231
"VIA FONTANA 4/A, 34133, TRIESTE, TS",01350500326,SEA GREEN ENGINEERING S.R.L.,UL-1,45.655574,13.78016
"VIA FONTANE 11, 33087, PASIANO DI PORDENONE, PN",00112750930,PODERE DELL ANGELO SOCIETA  AGRICOLA S.R.L.,UL-2,45.886853,12.624807
"VIA FONTANINI 2, 33050, PAVIA DI UDINE, UD",02212620302,FIBRE NET S.P.A.,UL-4,45.996285,13.302528
"VIA FONTANOT 3/B, 34074, MONFALCONE, GO",01188340325,LOTO S.R.L.,UL-1,45.808112,13.536658
"VIA FORAME 12, 33028, TOLMEZZO, UD",01894100302,DB INFORMATIC   S.R.L.,UL-3,46.404259,13.018501
"VIA FORAMITTI 1, 33043, CIVIDALE DEL FRIULI, UD",02345670307,SOCIETA  FERROVIE UDINE - CIVIDALE S. A R.L.,UL-4,46.095641,13.424324
"VIA FORAMITTI 8, 33043, CIVIDALE DEL FRIULI, UD",02808780304,BRICKONE S.R.L.,UL-1,46.097067,13.425467
"VIA FORANS 4/6, 34076, ROMANS D ISONZO, GO",01859060939,DARE TO S.R.L.,UL-1,45.883094,13.435106
"VIA FORGARIA 13/4, 33078, SAN VITO AL TAGLIAMENTO, PN",01206740324,CATA ARTIGIANATO FRIULI VENEZIA GIULIA S.R.L.,UL-3,45.944762,12.881146
"VIA FORGARIA 13/5, 33078, SAN VITO AL TAGLIAMENTO, PN",00387360936,UN.ART. SERVIZI S.R.L.,UL-3,45.944762,12.881146
"VIA FORGARIA 13/8, 33078, SAN VITO AL TAGLIAMENTO, PN",01434120935,AGRIDATA S.R.L.,UL-2,45.944762,12.881146
"VIA FORGARIA 3, 33078, SAN VITO AL TAGLIAMENTO, PN",01776500934,OBLO  S.R.L.,UL-1,45.943819,12.878633
"VIA FORGARIA 4, 33078, SAN VITO AL TAGLIAMENTO, PN",01821510938,EXTRALIFE - ELI SRL,UL-3,45.943467,12.878302
"VIA FORLANINI 46, 34139, TRIESTE, TS",01181560325,DODIPIU  - SOCIETA  A RESPONSABILITA  LIMITATA,UL-1,45.635596,13.831335
"VIA FORMENTINI, 33080, FIUME VENETO, PN",01285140933,BRESCANCIN CARLO IMMOBILIARE SRL,UL-3,45.942265,12.756147
"VIA FORNACE 11, 33170, PORDENONE, PN",01396460931,STILE ITALIANO S.R.L.,UL-6,45.957552,12.685197
"VIA FORNACE 15, 33170, PORDENONE, PN",00397540931,SORGENTE VALCIMOLIANA S.R.L.,UL-3,45.957815,12.68655
"VIA FORNACE 2/A, 33077, SACILE, PN",01831990930,DACO WOOD SOCIETA  A RESPONSABILITA  LIMITATA SEMPLIFICATA,UL-2,45.973303,12.486218
"VIA FORNACE 20, 34070, MEDEA, GO",00515650315,SILVER S.R.L.,UL-2,45.918381,13.4261
"VIA FORNACE 20, 34076, MEDEA, GO",01019890316,STEELWOOD S.R.L.,UL-5,45.918381,13.4261
"VIA FORNACE 6, 33077, SACILE, PN",01831990930,DACO WOOD SOCIETA  A RESPONSABILITA  LIMITATA SEMPLIFICATA,UL-1,45.97317,12.485076
"VIA FORNACE 8, 33170, PORDENONE, PN",01683140931,HYDROGEA S.P.A.,UL-1,45.95705,12.68628
"VIA FORNI DI SOTTO 22, 33100, UDINE, UD",02958880300,DYNASTY S.R.L.S.,UL-1,46.07771,13.233967
"VIA FORO BOARIO 1, 33033, CODROIPO, UD",02455870309,4LG S.R.L.,UL-1,45.963199,12.977046
"VIA FOSCHIATTI 15/IP, 34129, TRIESTE, TS",01289070326,SIRCELLI SRL,UL-2,45.648267,13.78078
"VIA FOSCOLO 14/A, 34129, TRIESTE, TS",00813000320,CENTROCUCITO S.R.L.,UL-2,45.647973,13.78295
"VIA FOSCOLO 14/B, 34129, TRIESTE, TS",00813000320,CENTROCUCITO S.R.L.,UL-5,45.647973,13.78295
"VIA FOSCOLO 4, 34131, TRIESTE, TS",00875640328,VALE S.R.L.,UL-5,45.647577,13.776355
"VIA FOSSALUZZA 2, 33074, FONTANAFREDDA, PN",01301710933,ARBLU S.R.L.,UL-4,45.974713,12.56818
"VIA FOSSALUZZA 4, 33074, FONTANAFREDDA, PN",01738070935,CENTRO CASA ARREDAMENTI S.R.L.,UL-1,45.934102,12.541839
"VIA FOSSO DI MEZZO 4, 34075, SAN CANZIAN D ISONZO, GO",00256060302,MARINELLA SOCIETA  AGRICOLA A R.L.,UL-1,45.798881,13.463928
"VIA FRANCA 4/2, 34123, TRIESTE, TS",00963780325,CORONA S.R.L.,UL-10,45.642406,13.759944
"VIA FRANCENIGO 27, 33077, SACILE, PN",01747870937,ANGELELLA S.R.L.,UL-1,45.932254,12.502842
"VIA FRANCESCO CARLETTI 10, 34147, TRIESTE, TS",03769070164,T. EVA SRL,UL-2,45.617954,13.820049
"VIA FRANCESCO COMELLI 31/2, 33034, FAGAGNA, UD",02935940300,TANNUS ITALIA S.R.L.,UL-3,46.100819,13.091234
"VIA FRANCESCO COMELLI 33, 33034, FAGAGNA, UD",02610340305,ITALFIT MAGNETI SRL,UL-1,46.100348,13.091474
"VIA FRANCESCO COMELLI SN, 33034, FAGAGNA, UD",01548650306,F.LLI VARUTTI SRL,UL-2,46.102165,13.090538
"VIA FRANCESCO CRISPI 17, 33100, UDINE, UD",00441660305,ACU PARK S.R.L. - AUTOPARCHEGGI CITTA  DI UDINE,UL-1,46.059236,13.234654
"VIA FRANCESCO CRISPI 19, 33100, UDINE, UD",01729520302,ACIRENT S.R.L.,UL-1,46.059252,13.234725
"VIA FRANCESCO CRISPI 5, 34125, TRIESTE, TS",01200000329,AB CONSULTING - SOCIETA  A RESPONSABILITA  LIMITATA,UL-1,45.650766,13.77827
"VIA FRANCESCO CRISPI 5/B, 34170, GORIZIA, GO",01084910312,ISTITUTO ACUSTICO PONTONI S.R.L.,UL-9,45.944047,13.62154
"VIA FRANCESCO DI MANZANO 16, 33100, UDINE, UD",01750650309,G.T.A. S.R.L.,UL-3,46.055601,13.226375
"VIA FRANCESCO MANTICA 20, 33100, UDINE, UD",02929780308,ECOMOTION SRL,UL-1,46.067051,13.230619
"VIA FRANCESCO OSTERMANN 36, 33033, CODROIPO, UD",02636150308,CNA SERVIZI FRIULI VENEZIA GIULIA S.R.L.,UL-2,45.960151,12.98471
"VIA FRANCESCO PETRARCA 11, 33085, MANIAGO, PN",01633760937,PIETRO ROSA T.B.M. S.R.L.,UL-1,46.164304,12.706763
"VIA FRANCESCO PETRARCA 9, 33092, CAVASSO NUOVO, PN",01701000935,F.LLI PONTELLO SRL,UL-1,46.185282,12.766765
"VIA FRANCO GALLINI 2, 33081, AVIANO, PN",01568110934,SEDICIDODICI S.R.L.,UL-1,46.063182,12.564017
"VIA FRANCO MARTELLI 19/A, 33170, PORDENONE, PN",00378570931,PARADYSE S.R.L.,UL-7,45.957333,12.662412
"VIA FRANCO MARTELLI 19/B, 33170, PORDENONE, PN",00378570931,PARADYSE S.R.L.,UL-6,45.957333,12.662412
"VIA FRASSINELLE, 33010, TARVISIO, UD",00470960303,LUSSARI S.P.A.,UL-2,46.465475,13.55346
"VIA FRATELLI BANDIERA 3, 33170, PORDENONE, PN",01062950934,S.T.E. SOCIETA  TRIVENETA DI ENGINEERING S.R.L.,UL-1,45.95857,12.66359
"VIA FRATELLI FONTANOT 1, 34074, MONFALCONE, GO",00558640314,STRATIS SRL,UL-2,45.808447,13.536893
"VIA FRATELLI PISCHIUTTA 119, 33038, SAN DANIELE DEL FRIULI, UD",01818790303,CRESSA & C. S.R.L.,UL-2,46.133,12.975752
"VIA FRATELLI ROSSELLI 13, 33077, SACILE, PN",01369030935,CREDIT AGRICOLE FRIULADRIA - SOCIETA  PER AZIONI,UL-27,45.949269,12.507009
"VIA FRATELLI ROSSELLI 45, 33077, SACILE, PN",01754830931,ESSEFFE SRL,UL-1,45.949554,12.509423
"VIA FRATELLI ROSSELLI 49, 34074, MONFALCONE, GO",01083350320,SHAPE CONSULTING S.R.L.,UL-1,45.807572,13.533856
"VIA FRATELLI ROSSELLI 67, 34074, MONFALCONE, GO",12081290152,PLUSS S.R.L.,UL-2,45.807322,13.534587
"VIA FRATELLI RUSJAN 23, 34070, SAVOGNA D ISONZO, GO",00448970319,MITTEL CO S.R.L.,UL-4,45.902704,13.572046
"VIA FRATELLI SAVOIA 11, 33033, CODROIPO, UD",02841000306,S.C. HOME&CONTRACT SRL,UL-2,45.973178,12.99473
"VIA FRATELLI SAVOIA 18, 33033, CODROIPO, UD",02368240301,FRIULI  ANTINCENDI  SRL,UL-1,45.97339,12.99597
"VIA FRATELLI SAVOIA 19, 33033, CODROIPO, UD",01195600935,FRIULEXPRESS S.R.L.,UL-1,45.973982,12.997023
"VIA FRATELLI SAVOIA SNC, 33033, CODROIPO, UD",00930530324,ACEGASAPSAMGA S.P.A.,UL-4,45.973207,12.995256
"VIA FRATELLI SOLARI 3, 33020, AMARO, UD",01207340322,EUROTECH S.P.A.,UL-1,46.369282,13.078612
"VIA FRATELLI SOLARI 5/A, 33020, AMARO, UD",01153510936,CG IMMOBILIARE & SERVIZI S.R.L.,UL-1,46.368763,13.078559
"VIA FRATELLI SOLARI 7, 33020, AMARO, UD",01677460303,PLAN 1 HEALTH S.R.L.,UL-6,46.36884,13.078455
"VIA FRATELLI ZAMBON 10, 33080, FIUME VENETO, PN",00293180931,GOBBO A. & DAL BEN G. S.R.L.,UL-2,45.901094,12.729898
"VIA FRATELLI ZAMBON 15, 33080, FIUME VENETO, PN",00074340936,MUZZIN S.P.A.,UL-1,45.901361,12.727692
"VIA FRATELLI ZAMBON 19, 33080, FIUME VENETO, PN",00293180931,GOBBO A. & DAL BEN G. S.R.L.,UL-1,45.927436,12.73219
"VIA FRATELLI ZAMBON 7/D, 33080, FIUME VENETO, PN",01409710934,TECHNOLOGICAL SYSTEMS BY MORO - S.R.L. E IN FORMA ABBREVIATA -T.S.M.- S.R.L.,UL-3,45.901529,12.728785
"VIA FRATELLI ZAMBON 7/F, 33080, FIUME VENETO, PN",01409710934,TECHNOLOGICAL SYSTEMS BY MORO - S.R.L. E IN FORMA ABBREVIATA -T.S.M.- S.R.L.,UL-2,45.901529,12.728785
"VIA FRATTE 57, 33082, AZZANO DECIMO, PN",00476270939,LA KOSMOS SELEZIONI S.R.L.,UL-2,45.907615,12.711327
